filme,data_lancamento,Duração do Filme,numero_avaliacoes,avaliacao
201. Como Treinar o Seu Dragão,2010,1h 38m,"820,000","8,1"
202. Tubarão,1975,2h 4m,"679,000","8,1"
203. Bancando o Águia,1924,45m,"59,000","8,2"
204. A General,1926,1h 18m,"100,000","8,1"
205. Mary e Max - Uma Amizade Diferente,2009,1h 32m,"191,000","8,1"
206. Sindicato de Ladrões,1954,1h 48m,"168,000","8,1"
207. O Salário do Medo,1953,2h 36m,"68,000","8,1"
208. Ford vs. Ferrari,2019,2h 32m,"501,000","8,1"
209. Morangos Silvestres,1957,1h 32m,"117,000","8,1"
210. A Mulher Faz o Homem,1939,2h 9m,"123,000","8,1"
211. O 3º Homem,1949,1h 44m,"186,000","8,1"
212. Logan,2017,2h 17m,"867,000","8,1"
"213. Rocky, um Lutador",1976,2h,"644,000","8,1"
214. Era uma Vez em Tóquio,1953,2h 16m,"71,000","8,1"
215. O Grande Lebowski,1998,1h 57m,"875,000","8,1"
216. O Sétimo Selo,1957,1h 36m,"203,000","8,1"
217. O Quarto de Jack,2015,1h 58m,"460,000","8,1"
218. Spotlight: Segredos Revelados,2015,2h 9m,"510,000","8,1"
219. O Exterminador do Futuro,1984,1h 47m,"945,000","8,1"
220. Hotel Ruanda,2004,2h 1m,"378,000","8,1"
221. Platoon,1986,2h,"447,000","8,1"
222. Piratas do Caribe: A Maldição do Pérola Negra,2003,2h 23m,"1,200,000","8,1"
223. O Ódio,1995,1h 38m,"204,000","8,1"
224. Jai Bhim,2021,2h 44m,"221,000","8,7"
225. O Martírio de Joana D'Arc,1928,1h 50m,"62,000","8,1"
226. Antes do Pôr do Sol,2004,1h 20m,"295,000","8,1"
227. Os Melhores Anos de Nossa Vida,1946,2h 50m,"72,000","8,1"
228. O Exorcista,1973,2h 2m,"468,000","8,1"
229. Um Condenado à Morte Escapou,1956,1h 41m,"26,000","8,2"
230. Rush: No Limite da Emoção,2013,2h 3m,"524,000","8,1"
231. Os Incríveis,2004,1h 55m,"832,000","8,0"
232. O Mágico de Oz,1939,1h 42m,"437,000","8,1"
233. Rede de Intrigas,1976,2h 1m,"174,000","8,1"
234. Conta Comigo,1986,1h 29m,"453,000","8,1"
235. Sempre ao Seu Lado,2009,1h 33m,"319,000","8,1"
236. A Noviça Rebelde,1965,2h 52m,"268,000","8,1"
237. Meu Pai e Meu Filho,2005,1h 52m,"95,000","8,2"
238. Ser ou Não Ser,1942,1h 39m,"45,000","8,1"
239. A Criada,2016,2h 25m,"180,000","8,1"
240. Na Natureza Selvagem,2007,2h 28m,"668,000","8,1"
241. A Batalha de Argel,1966,2h 1m,"67,000","8,1"
242. O Gigante de Ferro,1999,1h 26m,"236,000","8,1"
243. As Vinhas da Ira,1940,2h 9m,"102,000","8,1"
244. Feitiço do Tempo,1993,1h 41m,"700,000","8,0"
245. Amores Brutos,2000,2h 34m,"257,000","8,0"
"246. Rebecca, a Mulher Inesquecível",1940,2h 10m,"150,000","8,1"
247. Histórias Cruzadas,2011,2h 26m,"503,000","8,1"
248. Rebeldia Indomável,1967,2h 7m,"192,000","8,0"
249. A Voz do Silêncio,2016,2h 10m,"109,000","8,1"
"250. Paris, Texas",1984,2h 25m,"126,000","8,1"
